State_ID,State_Name,City_ID,City_Name,latitude,longitude,lat,lng,English_Name
2,اصفهان,47,جوشقان وكامو,"33° 35' 58.085"" N","51° 13' 41.743"" E",33.5994682312012,51.2282638549805,
2,اصفهان,48,چادگان,"32° 46' 17.602"" N","50° 37' 36.682"" E",32.771556854248,50.6268577575684,
2,اصفهان,49,چرمهين,"32° 20' 18.096"" N","51° 11' 43.753"" E",32.3383598327637,51.1954879760742,
2,اصفهان,50,چمگردان,"32° 23' 36.622"" N","51° 20' 7.260"" E",32.3935050964355,51.3353500366211,
2,اصفهان,51,حبيب آباد,"32° 49' 18.797"" N","51° 46' 33.143"" E",32.8218879699707,51.7758712768555,
2,اصفهان,52,حسن آباد,"32° 8' 11.890"" N","52° 37' 24.751"" E",32.1366348266602,52.6235427856445,
2,اصفهان,53,حنا,"31° 11' 51.306"" N","51° 43' 32.455"" E",31.1975841522217,51.7256813049316,
2,اصفهان,54,خالدآباد,"33° 42' 6.610"" N","51° 58' 53.922"" E",33.7018356323242,51.9816436767578,
2,اصفهان,55,خميني شهر,"32° 40' 59.984"" N","51° 32' 0.949"" E",32.6833305358887,51.5335960388184,
2,اصفهان,56,خوانسار,"33° 12' 51.228"" N","50° 19' 7.936"" E",33.2142295837402,50.3188705444336,
2,اصفهان,57,خور,"33° 46' 18.534"" N","55° 5' 1.831"" E",33.7718162536621,55.0838432312012,
2,اصفهان,58,خوراسگان,"32° 39' 18.360"" N","51° 45' 34.376"" E",32.655101776123,51.7595481872559,
2,اصفهان,59,خورزوق,"32° 46' 36.199"" N","51° 38' 59.410"" E",32.7767219543457,51.6498374938965,
2,اصفهان,60,داران,"32° 59' 10.388"" N","50° 24' 32.893"" E",32.9862174987793,50.4091377258301,
2,اصفهان,61,دامنه,"33° 0' 56.855"" N","50° 29' 15.976"" E",33.0157928466797,50.4877700805664,
2,اصفهان,62,درچه پياز,"32° 36' 16.132"" N","51° 32' 51.745"" E",32.6044807434082,51.5477066040039,
2,اصفهان,63,دستگرد,"32° 48' 7.369"" N","51° 39' 56.574"" E",32.8020477294922,51.665714263916,
2,اصفهان,64,دولت آباد,"32° 48' 17.024"" N","51° 41' 36.827"" E",32.8047294616699,51.6935615539551,
2,اصفهان,65,دهاقان,"31° 55' 59.268"" N","51° 39' 15.037"" E",31.9331302642822,51.6541786193848,
2,اصفهان,66,دهق,"33° 6' 12.186"" N","50° 57' 33.026"" E",33.103385925293,50.9591751098633,
2,اصفهان,67,ديزيچه,"32° 22' 40.552"" N","51° 30' 14.980"" E",32.3779296875,51.5041618347168,
2,اصفهان,68,رزوه,"32° 50' 6.461"" N","50° 34' 9.638"" E",32.8351287841797,50.5693435668945,
2,اصفهان,69,رضوانشهر,"32° 41' 59.064"" N","51° 6' 13.979"" E",32.6997413635254,51.1038818359375,
2,اصفهان,70,زاينده رود,"32° 22' 41.581"" N","51° 16' 23.743"" E",32.3782157897949,51.2732620239258,
2,اصفهان,71,زرين شهر,"32° 23' 38.868"" N","51° 23' 9.226"" E",32.3941307067871,51.3858947753906,
2,اصفهان,72,زواره,"33° 26' 52.292"" N","52° 29' 11.983"" E",33.4478607177734,52.4866638183594,
2,اصفهان,73,زيباشهر,"32° 22' 45.901"" N","51° 33' 53.370"" E",32.3794174194336,51.5648231506348,
2,اصفهان,74,سده لنجان,"32° 22' 38.604"" N","51° 19' 8.058"" E",32.3773918151855,51.318904876709,
2,اصفهان,75,سفيدشهر,"34° 7' 23.027"" N","51° 21' 5.400"" E",34.1230621337891,51.3515014648438,
2,اصفهان,76,سگزي,"32° 40' 6.827"" N","52° 7' 49.685"" E",32.6685638427734,52.1304664611816,
2,اصفهان,77,سميرم,"31° 24' 52.391"" N","51° 34' 18.728"" E",31.4145526885986,51.5718688964844,
2,اصفهان,78,شاپورآباد,"32° 50' 43.519"" N","51° 44' 35.948"" E",32.8454208374023,51.7433204650879,
2,اصفهان,79,شاهين شهر,"32° 51' 51.545"" N","51° 33' 16.834"" E",32.8643188476562,51.5546760559082,
2,اصفهان,80,شهرضا,"31° 58' 35.976"" N","51° 50' 57.934"" E",31.9766597747803,51.8494262695313,
2,اصفهان,81,طالخونچه,"32° 15' 43.506"" N","51° 33' 51.401"" E",32.2620849609375,51.5642776489258,
2,اصفهان,82,عسگران,"32° 51' 48.686"" N","50° 51' 7.924"" E",32.863525390625,50.8521995544434,
2,اصفهان,83,علويچه,"33° 3' 17.291"" N","51° 4' 53.249"" E",33.054801940918,51.0814590454102,
2,اصفهان,84,فرخي,"33° 50' 40.488"" N","54° 56' 48.775"" E",33.8445816040039,54.9468803405762,
2,اصفهان,85,فريدونشهر,"32° 56' 23.950"" N","50° 8' 21.793"" E",32.9399871826172,50.1393852233887,
2,اصفهان,86,فلاورجان,"32° 33' 22.558"" N","51° 30' 22.648"" E",32.556266784668,51.506290435791,
2,اصفهان,87,فولادشهر,"32° 29' 22.312"" N","51° 24' 26.518"" E",32.4895324707031,51.4073677062988,
2,اصفهان,88,قمصر,"33° 45' 7.243"" N","51° 25' 50.333"" E",33.752010345459,51.4306488037109,
2,اصفهان,89,قهجاورستان,"32° 42' 11.286"" N","51° 50' 6.025"" E",32.7031364440918,51.8350067138672,
2,اصفهان,90,قهدريجان,"32° 34' 25.817"" N","51° 27' 21.056"" E",32.5738372802734,51.4558486938477,
2,اصفهان,91,كاشان,"33° 59' 0.218"" N","51° 25' 55.506"" E",33.9833946228027,51.4320831298828,
2,اصفهان,92,كركوند,"32° 20' 46.658"" N","51° 26' 14.046"" E",32.3462944030762,51.4372367858887,
2,اصفهان,93,كليشادوسودرجان,"32° 32' 29.544"" N","51° 32' 9.229"" E",32.5415382385254,51.5358963012695,
2,اصفهان,94,كمشچه,"32° 54' 20.776"" N","51° 48' 32.540"" E",32.9057693481445,51.8090400695801,
2,اصفهان,95,كمه,"31° 3' 41.278"" N","51° 35' 36.902"" E",31.061466217041,51.5935821533203,
2,اصفهان,96,كوشك,"32° 38' 24.284"" N","51° 30' 0.378"" E",32.640079498291,51.5001068115234,
2,اصفهان,97,كوهپايه,"32° 42' 54.392"" N","52° 25' 57.068"" E",32.7151107788086,52.4325180053711,
2,اصفهان,98,كهريزسنگ,"32° 37' 34.489"" N","51° 28' 37.621"" E",32.6262474060059,51.4771156311035,
2,اصفهان,99,گرگاب,"32° 51' 56.768"" N","51° 35' 51.551"" E",32.8657684326172,51.5976524353027,
2,اصفهان,100,گزبرخوار,"32° 48' 16.585"" N","51° 37' 7.774"" E",32.8046073913574,51.6188278198242,
2,اصفهان,101,گلپايگان,"33° 27' 3.420"" N","50° 17' 0.107"" E",33.4509506225586,50.2833633422852,
2,اصفهان,102,گلدشت,"32° 37' 47.665"" N","51° 26' 33.788"" E",32.6299057006836,51.4427185058594,
2,اصفهان,103,گلشن,"31° 55' 45.196"" N","51° 45' 9.029"" E",31.929220199585,51.7525062561035,
2,اصفهان,104,گلشهر,"33° 30' 21.172"" N","50° 27' 56.214"" E",33.5058822631836,50.4656143188477,
2,اصفهان,105,گوگد,"33° 28' 24.402"" N","50° 20' 43.130"" E",33.473445892334,50.3453140258789,
